date,0131eef5ec10be23b05c6374c3c96876ffa3d77b53457976d730ed0278c1213a,0302d31515d7968f1fa9a590b91d12bc6ea570f0c37c5f8b4ae7939eaef12911,OT
2020/8/3 0:00,26125,47981,74106
2020/8/3 1:00,15590,25216,40806
2020/8/3 2:00,11725,14968,26693
2020/8/3 3:00,8728,9901,18629
2020/8/3 4:00,7733,8582,16315
2020/8/3 5:00,16062,16229,32291
2020/8/3 6:00,43491,43122,86613
2020/8/3 7:00,82493,78654,161147
2020/8/3 8:00,98519,99188,197707
2020/8/3 9:00,88717,104211,192928
2020/8/3 10:00,88866,122678,211544
2020/8/3 11:00,103484,135910,239394
2020/8/3 12:00,113552,133403,246955
2020/8/3 13:00,67425,106306,173731
2020/8/3 14:00,60815,101886,162701
2020/8/3 15:00,65049,102363,167412
2020/8/3 16:00,77377,113299,190676
2020/8/3 17:00,102592,145274,247866
2020/8/3 18:00,106948,133224,240172
2020/8/3 19:00,98673,133452,232125
2020/8/3 20:00,86445,115142,201587
2020/8/3 21:00,70808,97006,167814
2020/8/3 22:00,50884,78051,128935
2020/8/3 23:00,37293,57029,94322
2020/8/9 0:00,31021,47984,79005
2020/8/9 1:00,18681,25290,43971
2020/8/9 2:00,12980,15572,28552
2020/8/9 3:00,9684,10318,20002
2020/8/9 4:00,7399,8854,16253
2020/8/9 5:00,14380,14898,29278
2020/8/9 6:00,38162,40884,79046
2020/8/9 7:00,68242,77805,146047
2020/8/9 8:00,85332,93410,178742
2020/8/9 9:00,97808,95450,193258
2020/8/9 10:00,105709,105936,211645
2020/8/9 11:00,115106,124260,239366
2020/8/9 12:00,109755,129265,239020
2020/8/9 13:00,81817,98465,180282
2020/8/9 14:00,72109,91716,163825
2020/8/9 15:00,78078,91198,169276
2020/8/9 16:00,91540,102729,194269
2020/8/9 17:00,107804,123205,231009
2020/8/9 18:00,110973,126452,237425
2020/8/9 19:00,104710,116437,221147
2020/8/9 20:00,97079,103021,200100
2020/8/9 21:00,81815,90986,172801
2020/8/9 22:00,58726,77820,136546
2020/8/9 23:00,40827,59188,100015
2020/8/10 0:00,28465,47521,75986
2020/8/10 1:00,17196,24794,41990
2020/8/10 2:00,12173,15260,27433
2020/8/10 3:00,8934,9923,18857
2020/8/10 4:00,7288,8366,15654
2020/8/10 5:00,15310,14983,30293
2020/8/10 6:00,43140,41633,84773
2020/8/10 7:00,84260,77410,161670
2020/8/10 8:00,99491,96011,195502
2020/8/10 9:00,91500,99651,191151
2020/8/10 10:00,97059,115417,212476
2020/8/10 11:00,114220,127659,241879
2020/8/10 12:00,123535,127367,250902
2020/8/10 13:00,73966,100196,174162
2020/8/10 14:00,66898,94467,161365
2020/8/10 15:00,71647,96345,167992
2020/8/10 16:00,83260,107589,190849
2020/8/10 17:00,107201,127411,234612
2020/8/10 18:00,113224,129047,242271
2020/8/10 19:00,105761,120323,226084
2020/8/10 20:00,96635,108983,205618
2020/8/10 21:00,79254,96278,175532
2020/8/10 22:00,57008,78148,135156
2020/8/10 23:00,39678,57804,97482
2020/8/13 0:00,27924,46755,74679
2020/8/13 1:00,16909,23061,39970
2020/8/13 2:00,12129,14120,26249
2020/8/13 3:00,9028,9587,18615
2020/8/13 4:00,7673,8292,15965
2020/8/13 5:00,15243,16843,32086
2020/8/13 6:00,43831,51121,94952
2020/8/13 7:00,85845,100286,186131
2020/8/13 8:00,96392,113469,209861
2020/8/13 9:00,91008,104595,195603
2020/8/13 10:00,93580,112490,206070
2020/8/13 11:00,112499,137148,249647
2020/8/13 12:00,119749,148868,268617
2020/8/13 13:00,71687,98948,170635
2020/8/13 14:00,63355,88953,152308
2020/8/13 15:00,68924,90890,159814
2020/8/13 16:00,82150,106489,188639
2020/8/13 17:00,109304,140923,250227
2020/8/13 18:00,115651,145917,261568
2020/8/13 19:00,107708,131557,239265
2020/8/13 20:00,95018,114696,209714
2020/8/13 21:00,79019,97754,176773
2020/8/13 22:00,56506,78656,135162
2020/8/13 23:00,40108,58740,98848
2020/8/14 0:00,27880,47130,75010
2020/8/14 1:00,17202,23985,41187
2020/8/14 2:00,11939,14042,25981
2020/8/14 3:00,9051,9552,18603
2020/8/14 4:00,7670,8278,15948
2020/8/14 5:00,16090,17106,33196
2020/8/14 6:00,45770,52448,98218
2020/8/14 7:00,89238,101388,190626
2020/8/14 8:00,100845,115317,216162
2020/8/14 9:00,93603,106936,200539
2020/8/14 10:00,94521,115785,210306
2020/8/14 11:00,114026,139159,253185
2020/8/14 12:00,121928,150395,272323
2020/8/14 13:00,73509,99623,173132
2020/8/14 14:00,64317,89413,153730
2020/8/14 15:00,69268,91757,161025
2020/8/14 16:00,83378,106946,190324
2020/8/14 17:00,109017,141232,250249
2020/8/14 18:00,114465,146801,261266
2020/8/14 19:00,108693,134060,242753
2020/8/14 20:00,97009,119641,216650
2020/8/14 21:00,80545,98180,178725
2020/8/14 22:00,59370,79087,138457
2020/8/14 23:00,41032,59579,100611
2020/8/23 0:00,31826,50001,81827
2020/8/23 1:00,19143,25888,45031
2020/8/23 2:00,13645,16087,29732
2020/8/23 3:00,10235,10517,20752
2020/8/23 4:00,8396,8804,17200
2020/8/23 5:00,15251,16423,31674
2020/8/23 6:00,41076,48339,89415
2020/8/23 7:00,72677,91922,164599
2020/8/23 8:00,90126,106835,196961
2020/8/23 9:00,102230,103980,206210
2020/8/23 10:00,112542,120060,232602
2020/8/23 11:00,122633,144623,267256
2020/8/23 12:00,117682,153916,271598
2020/8/23 13:00,86420,106816,193236
2020/8/23 14:00,77814,95128,172942
2020/8/23 15:00,84501,99110,183611
2020/8/23 16:00,101521,115459,216980
2020/8/23 17:00,115054,142750,257804
2020/8/23 18:00,117060,146370,263430
2020/8/23 19:00,109254,134970,244224
2020/8/23 20:00,99022,122939,221961
2020/8/23 21:00,80105,102246,182351
2020/8/23 22:00,55854,83896,139750
2020/8/23 23:00,38145,62481,100626
2020/8/24 0:00,27471,50062,77533
2020/8/24 1:00,17696,25720,43416
2020/8/24 2:00,12700,15967,28667
2020/8/24 3:00,9443,10673,20116
2020/8/24 4:00,8183,8794,16977
2020/8/24 5:00,15242,15950,31192
2020/8/24 6:00,45220,44868,90088
2020/8/24 7:00,86122,83021,169143
2020/8/24 8:00,100099,103510,203609
2020/8/24 9:00,93289,105534,198823
2020/8/24 10:00,96864,125168,222032
2020/8/24 11:00,119281,144769,264050
2020/8/24 12:00,130434,145485,275919
2020/8/24 13:00,78130,109804,187934
2020/8/24 14:00,67556,102513,170069
2020/8/24 15:00,74700,101818,176518
2020/8/24 16:00,89970,118638,208608
2020/8/24 17:00,112974,143140,256114
2020/8/24 18:00,120526,143955,264481
2020/8/24 19:00,109841,133564,243405
2020/8/24 20:00,97430,118133,215563
2020/8/24 21:00,80873,100712,181585
2020/8/24 22:00,58311,80332,138643
2020/8/24 23:00,38909,58543,97452
2020/8/27 0:00,28233,47124,75357
2020/8/27 1:00,17256,23006,40262
2020/8/27 2:00,12463,14059,26522
2020/8/27 3:00,9139,9651,18790
2020/8/27 4:00,7339,8360,15699
2020/8/27 5:00,15082,16247,31329
2020/8/27 6:00,43941,51857,95798
2020/8/27 7:00,86476,104000,190476
2020/8/27 8:00,102326,115651,217977
2020/8/27 9:00,95062,105841,200903
2020/8/27 10:00,96267,115798,212065
2020/8/27 11:00,118035,145794,263829
2020/8/27 12:00,126484,161840,288324
2020/8/27 13:00,75871,101534,177405
2020/8/27 14:00,67093,89464,156557
2020/8/27 15:00,72398,92253,164651
2020/8/27 16:00,87860,112065,199925
2020/8/27 17:00,110158,149069,259227
2020/8/27 18:00,118103,154573,272676
2020/8/27 19:00,108056,136242,244298
2020/8/27 20:00,92166,114763,206929
2020/8/27 21:00,75945,97475,173420
2020/8/27 22:00,56016,79986,136002
2020/8/27 23:00,38275,58646,96921
2020/8/29 0:00,30446,49545,79991
2020/8/29 1:00,19793,24090,43883
2020/8/29 2:00,13289,14805,28094
2020/8/29 3:00,9704,10173,19877
2020/8/29 4:00,8087,8526,16613
2020/8/29 5:00,14803,16104,30907
2020/8/29 6:00,43135,52243,95378
2020/8/29 7:00,78978,103666,182644
2020/8/29 8:00,91472,116633,208105
2020/8/29 9:00,102170,107854,210024
2020/8/29 10:00,108596,115100,223696
2020/8/29 11:00,122046,149319,271365
2020/8/29 12:00,125273,161615,286888
2020/8/29 13:00,85520,106354,191874
2020/8/29 14:00,75629,93016,168645
2020/8/29 15:00,83842,95384,179226
2020/8/29 16:00,98992,113408,212400
2020/8/29 17:00,113630,149657,263287
2020/8/29 18:00,119394,170055,289449
2020/8/29 19:00,109678,139261,248939
2020/8/29 20:00,97630,119256,216886
2020/8/29 21:00,81515,102716,184231
2020/8/29 22:00,58841,82892,141733
2020/8/29 23:00,41719,61908,103627
2020/9/5 0:00,28862,49104,77966
2020/9/5 1:00,17658,23638,41296
2020/9/5 2:00,12136,14383,26519
2020/9/5 3:00,9602,9553,19155
2020/9/5 4:00,7772,9212,16984
2020/9/5 5:00,15065,17584,32649
2020/9/5 6:00,44544,56435,100979
2020/9/5 7:00,82667,116850,199517
2020/9/5 8:00,96330,125327,221657
2020/9/5 9:00,99338,108845,208183
2020/9/5 10:00,114286,114621,228907
2020/9/5 11:00,131640,159838,291478
2020/9/5 12:00,129686,171281,300967
2020/9/5 13:00,86524,110173,196697
2020/9/5 14:00,77885,95615,173500
2020/9/5 15:00,85561,100151,185712
2020/9/5 16:00,101578,119798,221376
2020/9/5 17:00,123200,156692,279892
2020/9/5 18:00,125158,164102,289260
2020/9/5 19:00,110342,144854,255196
2020/9/5 20:00,100226,125640,225866
2020/9/5 21:00,81385,105908,187293
2020/9/5 22:00,59718,85994,145712
2020/9/5 23:00,40274,63243,103517
2020/9/7 0:00,89733,50465,140198
2020/9/7 2:00,98960,14930,113890
2020/9/7 3:00,128052,10663,138715
2020/9/7 4:00,142884,9266,152150
2020/9/7 5:00,66857,17214,84071
2020/9/7 6:00,94084,50999,145083
2020/9/7 16:00,93764,150212,243976
2020/9/7 19:00,75901,147181,223082
2020/9/8 0:00,53750,54801,108551
2020/9/8 1:00,27619,25451,53070
2020/9/8 2:00,16283,15126,31409
2020/9/8 3:00,11315,10013,21328
2020/9/8 4:00,8838,8557,17395
2020/9/8 5:00,6896,17518,24414
2020/9/8 6:00,15447,57025,72472
2020/9/8 7:00,53574,110104,163678
2020/9/8 8:00,101076,118318,219394
2020/9/8 9:00,106745,108572,215317
2020/9/8 10:00,95300,120430,215730
2020/9/8 11:00,99814,158530,258344
2020/9/8 12:00,130090,161887,291977
2020/9/8 13:00,136675,120007,256682
2020/9/8 14:00,80182,104045,184227
2020/9/8 15:00,69923,107540,177463
2020/9/8 16:00,79768,128095,207863
2020/9/8 17:00,96744,163837,260581
2020/9/8 18:00,128127,167948,296075
2020/9/8 19:00,132882,147175,280057
2020/9/8 20:00,117240,127126,244366
2020/9/8 21:00,95268,109859,205127
2020/9/8 22:00,81647,86699,168346
2020/9/8 23:00,60139,62120,122259
2020/9/9 0:00,39168,51138,90306
2020/9/9 1:00,30759,23937,54696
2020/9/9 2:00,17604,14066,31670
2020/9/9 3:00,13508,9948,23456
2020/9/9 4:00,9993,8541,18534
2020/9/9 5:00,8374,17287,25661
2020/9/9 6:00,16942,60480,77422
2020/9/9 7:00,54039,121360,175399
2020/9/9 8:00,104286,131069,235355
2020/9/9 9:00,114012,115958,229970
2020/9/9 10:00,96002,119244,215246
2020/9/9 11:00,101230,163414,264644
2020/9/9 12:00,135797,180452,316249
2020/9/9 13:00,147770,114777,262547
2020/9/9 14:00,81197,96717,177914
2020/9/9 15:00,72605,100472,173077
2020/9/9 16:00,80194,121272,201466
2020/9/9 17:00,97034,162060,259094
2020/9/9 18:00,126684,168794,295478
2020/9/9 19:00,134364,146846,281210
2020/9/9 20:00,116027,123438,239465
2020/9/9 21:00,97090,104953,202043
2020/9/9 22:00,79468,84714,164182
2020/9/9 23:00,57566,62273,119839
2020/9/26 0:00,39111,57786,96897
2020/9/26 1:00,27462,25268,52730
2020/9/26 2:00,17104,15521,32625
2020/9/26 3:00,11648,10637,22285
2020/9/26 4:00,8715,8888,17603
2020/9/26 5:00,7219,16627,23846
2020/9/26 6:00,12693,57971,70664
2020/9/26 7:00,41872,114735,156607
2020/9/26 8:00,79367,122423,201790
2020/9/26 9:00,89107,110627,199734
2020/9/26 10:00,98299,110708,209007
2020/9/26 11:00,102338,162509,264847
2020/9/26 12:00,135532,147332,282864
2020/9/26 13:00,112953,110401,223354
2020/9/26 14:00,87229,99309,186538
2020/9/26 15:00,76007,102342,178349
2020/9/26 16:00,83573,124865,208438
2020/9/26 17:00,101935,157948,259883
2020/9/26 18:00,121351,158544,279895
2020/9/26 19:00,115816,144714,260530
2020/9/26 20:00,102940,120720,223660
2020/9/26 21:00,79573,106525,186098
2020/9/26 22:00,66492,83273,149765
2020/9/26 23:00,47600,52907,100507
2020/9/27 0:00,29872,56581,86453
2020/9/27 1:00,25771,24988,50759
2020/9/27 2:00,15936,14849,30785
2020/9/27 3:00,11002,9973,20975
2020/9/27 4:00,8072,8634,16706
2020/9/27 5:00,6693,16307,23000
2020/9/27 6:00,13402,54281,67683
2020/9/27 7:00,46700,106027,152727
2020/9/27 8:00,90197,117829,208026
2020/9/27 9:00,100750,113454,214204
2020/9/27 10:00,88036,133462,221498
2020/9/27 11:00,97417,134549,231966
2020/9/27 13:00,103868,120623,224491
2020/9/27 14:00,83834,102061,185895
2020/9/27 15:00,69221,106707,175928
2020/9/27 16:00,79115,127257,206372
2020/9/27 17:00,101952,168286,270238
2020/9/27 18:00,122716,180572,303288
2020/9/27 19:00,133306,195690,328996
2020/9/27 20:00,105798,140384,246182
2020/9/27 21:00,86064,125343,211407
2020/9/27 22:00,72141,88800,160941
2020/9/27 23:00,53347,62760,116107
2020/9/28 0:00,36093,56872,92965
2020/9/29 0:00,24645,55286,79931
2020/9/29 1:00,15678,23935,39613
2020/9/29 2:00,10118,14498,24616
2020/9/29 3:00,7481,9991,17472
2020/9/29 4:00,6696,8528,15224
2020/9/29 5:00,12740,16764,29504
2020/9/29 6:00,46525,58599,105124
2020/9/29 7:00,91728,110941,202669
2020/9/29 8:00,93692,122487,216179
2020/9/29 9:00,84252,113922,198174
2020/9/29 10:00,93842,137244,231086
2020/9/29 11:00,124324,165224,289548
2020/9/29 12:00,135959,174030,309989
2020/9/29 13:00,74997,118612,193609
2020/9/29 14:00,65216,111356,176572
2020/9/29 15:00,73140,112419,185559
2020/9/29 16:00,88094,133839,221933
2020/9/29 17:00,113142,159427,272569
2020/9/29 18:00,116251,170025,286276
2020/9/29 19:00,96908,147012,243920
2020/9/29 20:00,80297,125322,205619
2020/9/29 21:00,63797,106115,169912
2020/9/29 22:00,50762,88474,139236
2020/9/29 23:00,35667,65482,101149
2020/10/2 0:00,22853,48890,71743
2020/10/2 1:00,15941,25653,41594
2020/10/2 2:00,11493,15903,27396
2020/10/2 3:00,8473,10413,18886
2020/10/2 4:00,6514,8996,15510
2020/10/2 5:00,9167,14382,23549
2020/10/2 6:00,26051,45790,71841
2020/10/2 7:00,48834,88954,137788
2020/10/2 8:00,71444,112406,183850
2020/10/2 9:00,85231,113838,199069
2020/10/2 10:00,94090,128253,222343
2020/10/2 11:00,100268,154887,255155
2020/10/2 12:00,94284,167050,261334
2020/10/2 13:00,75835,116542,192377
2020/10/2 14:00,75055,108520,183575
2020/10/2 15:00,79079,109808,188887
2020/10/2 16:00,84275,126834,211109
2020/10/2 17:00,90508,149465,239973
2020/10/2 18:00,93899,158510,252409
2020/10/2 19:00,79711,135043,214754
2020/10/2 20:00,71950,124172,196122
2020/10/2 21:00,61664,107083,168747
2020/10/2 22:00,47396,84705,132101
2020/10/2 23:00,32918,60594,93512
2020/10/9 0:00,24352,54808,79160
2020/10/9 1:00,15090,25036,40126
2020/10/9 2:00,10854,14823,25677
2020/10/9 3:00,7680,9749,17429
2020/10/9 4:00,6204,8314,14518
2020/10/9 5:00,11939,16042,27981
2020/10/9 6:00,44822,57660,102482
2020/10/9 7:00,89193,120714,209907
2020/10/9 8:00,95884,132853,228737
2020/10/9 9:00,86257,116724,202981
2020/10/9 10:00,94836,125209,220045
2020/10/9 11:00,126947,163588,290535
2020/10/9 12:00,139195,177254,316449
2020/10/9 13:00,76440,113894,190334
2020/10/9 14:00,69403,102682,172085
2020/10/9 15:00,78040,105900,183940
2020/10/9 16:00,94676,129351,224027
2020/10/9 17:00,122711,169249,291960
2020/10/9 18:00,123734,172854,296588
2020/10/9 19:00,99825,148621,248446
2020/10/9 20:00,81879,127437,209316
2020/10/9 21:00,68464,112100,180564
2020/10/9 22:00,50848,87216,138064
2020/10/9 23:00,35539,63894,99433
2020/10/12 0:00,19696,58367,78063
2020/10/12 1:00,12202,26778,38980
2020/10/12 2:00,8366,15946,24312
2020/10/12 3:00,6391,10430,16821
2020/10/12 4:00,5204,8410,13614
2020/10/12 5:00,8950,14915,23865
2020/10/12 6:00,35470,48931,84401
2020/10/12 7:00,69159,96500,165659
2020/10/12 8:00,75172,122149,197321
2020/10/12 9:00,64182,126617,190799
2020/10/12 10:00,67580,150107,217687
2020/10/12 11:00,96155,172480,268635
2020/10/12 12:00,103432,177874,281306
2020/10/12 13:00,58645,137001,195646
2020/10/12 14:00,48902,122460,171362
2020/10/12 15:00,55779,123167,178946
2020/10/12 16:00,69399,142850,212249
2020/10/12 17:00,91315,171560,262875
2020/10/12 18:00,90298,172778,263076
2020/10/12 19:00,71454,149826,221280
2020/10/12 20:00,59126,133207,192333
2020/10/12 21:00,51621,114670,166291
2020/10/12 22:00,39646,91808,131454
2020/10/12 23:00,26439,64988,91427
2020/10/13 0:00,19884,55923,75807
2020/10/13 0:00,18245,55923,74168
2020/10/13 1:00,11633,25508,37141
2020/10/13 2:00,8598,14818,23416
2020/10/13 3:00,6252,10075,16327
2020/10/13 4:00,5025,8351,13376
2020/10/13 5:00,8362,15720,24082
2020/10/13 6:00,33591,56125,89716
2020/10/13 7:00,71256,111038,182294
2020/10/13 8:00,72723,125296,198019
2020/10/13 9:00,63683,119215,182898
2020/10/13 10:00,65988,136675,202663
2020/10/13 11:00,95993,164624,260617
2020/10/13 12:00,103426,175306,278732
2020/10/13 13:00,57091,127961,185052
